Hotel / Nombre,Ciudad,Motor Reservas,Pitch / Dolor,Rating GBP,Reviews,Score,Teléfono,Website,discovery_questions,draft_email,draft_whatsapp,evidence_links,scan_automations_to_sell,scan_completed_at,scan_quickwins_30d,scan_quickwins_48h,scan_quickwins_7d,scan_requested,scan_requested_at,scan_score,scan_status,scan_summary,scan_top_issues
Hotel Sansi,Lleida,,"Hola, equipo del Hotel Sansi. He estado viendo vuestra web y me preguntaba si os frustra que muchas reservas lleguen a través de Booking y se lleven una buena comisión. Vemos una forma muy sencilla de que recuperéis ese margen y que más clientes os reserven directamente. ¿Os puedo pasar un pantallazo rápido sin compromiso para que veáis a qué me refiero?","3,9",2221,"74,5",973 24 40 00,https://hotelsansilleida.com/ca/,,,,,,,,,,No,,,,,
Goya,Lleida,,"¡Buenas! He visto vuestro hotel en Lleida y la nota de 4.2 en Google, ¡felicidades! Imagino que os gustaría que más clientes de los que visitan vuestra web reservaran directamente en lugar de llamar o irse a otro sitio. ¿Os puedo pasar un pantallazo de cómo podríais conseguirlo, sin ningún compromiso?","4,2",305,"69,5",973 26 67 88,,,,,,,,,,,No,,,,,
Hotel Vila Mar,Cambrils,,"¡Hola! Vi que tenéis una nota genial de 4.1 en Google, ¡enhorabuena! Me fijé que vuestra web dirige a Booking para reservar, y sé que las comisiones duelen. Tenemos una forma muy visual de que esas reservas os lleguen directamente a vosotros, recuperando ese margen. ¿Os puedo pasar un pantallazo rápido sin compromiso para que veáis cómo?","4,1",281,"64,5",977 36 96 00,https://hotelvilamar.top/,,,,,,,,,,No,,,,,
Hotel Segle XX,Tremp,,"¡Buenas! Me ha encantado la historia de vuestro hotel, ¡desde 1880! He visto que para reservar en la web, el cliente acaba en portales externos. Imagino que las comisiones os quitan un buen pico del beneficio. ¿Os parece si os envío un pantallazo rápido de cómo podríais tener vuestro propio motor de reservas, sin compromiso?",4,847,"64,5",973 65 00 00,https://hotelseglexxtremp.com/,,,,,,,,,,No,,,,,
Hostal Bonavista,Cervera,,"¡Hola! Vi la web del Hostal Bonavista. Veo que usáis Booking y Expedia para las reservas. Imagino que las comisiones se comen una buena parte, ¿verdad? Tenemos una forma muy sencilla de que recibáis reservas directas desde vuestra propia web, 24/7. ¿Os puedo pasar un pantallazo rápido de cómo quedaría, sin ningún compromiso?","3,6",118,"59,5",973 53 00 27,https://www.hotelbonavistacervera.com/,,,,,,,,,,No,,,,,
Fonda Farré,Baro,,"¡Hola! He visto la buena nota que tenéis en Google con Fonda Farré. Creo que vuestra web actual no le hace justicia y os hace perder reservas directas. ¿Os puedo pasar un pantallazo rápido de cómo podríais tener un motor de reservas propio, sin compromiso?","4,2",905,"59,5",973 66 20 35,https://www.fondafarre.com,,,,,,,,,,No,,,,,
Hotel Vita Beret,Desconocida,,"¡Hola! Vi vuestro hotel y esa notaza de 4.2 en Google, ¡enhorabuena! Imagino que, como muchos, os gustaría reducir las comisiones de Booking. Vuestra web tiene mucho potencial para captar esas reservas directas. ¿Os puedo pasar un pantallazo rápido, sin compromiso, para que veáis a qué me refiero?","4,2",326,"59,5",973 64 05 35,http://www.hotelvitaberet.com/,,,,,,,,,,No,,,,,
lo Fangar,Deltebre,,"¡Hola! Veo que tenéis una nota genial de 4.4 en Google para Lo Fangar. Imagino que depender de portales externos para las reservas se come una parte importante del beneficio. ¿Os parece si os envío un pantallazo rápido de cómo podríais captar esas reservas y eventos directamente desde vuestra web, sin compromiso?","4,4",75,"59,5",695 60 42 01,http://www.casaturisticalofangar.com,,,,,,,,,,No,,,,,
Hotel l'Alguer,Desconocida,,"¡Buenas! Soy experto en hoteles de Tarragona. He visto vuestra web y me imagino que muchas reservas se os van por Booking, con la comisión que eso supone. Hay una forma muy sencilla de evitarlo y que reserven directamente con vosotros. ¿Os paso un ejemplo rápido sin compromiso para que lo veáis?",4,378,"59,5",977 49 33 72,,,,,,,,,,,No,,,,,
Gran Hotel Europa,Desconocida,,"¡Hola! Felicidades por la notaza de 4.1 en Google. Vemos que muchos clientes os encuentran ahí, pero una parte de esas reservas se cierra en Booking, con sus comisiones. Tenemos una idea para que captéis más reservas directas desde vuestra propia web. ¿Os puedo pasar un pantallazo rápido sin compromiso para que lo veáis?","4,1",1079,"59,5",(809) 685-1633,https://www.4rhotels.com/4r-gran-europe/,,,,,,,,,,No,,,,,
